,id,question,link
0,question-summary-71021037,Android Studio BumbleeBee Freeze when gradle is building,/questions/71021037/android-studio-bumbleebee-freeze-when-gradle-is-building
0,question-summary-71019551,Spyder 5 & Windows: Variable Explorer doesn't show pandas dataframes,/questions/71019551/spyder-5-windows-variable-explorer-doesnt-show-pandas-dataframes
0,question-summary-71015951,Import packages works in idle.exe but not in IDE (python),/questions/71015951/import-packages-works-in-idle-exe-but-not-in-ide-python
0,question-summary-70997732,Disable structure view of PhpStorm,/questions/70997732/disable-structure-view-of-phpstorm
0,question-summary-70978853,Why don't I get a prompt to enter input? [duplicate],/questions/70978853/why-dont-i-get-a-prompt-to-enter-input
0,question-summary-70978634,Looking for an HTML IDE where clicking on an element in the live preview highlights the code,/questions/70978634/looking-for-an-html-ide-where-clicking-on-an-element-in-the-live-preview-highlig
0,question-summary-70976135,The Icon and Build Section Not Selected on the Selected Areas. How to Show It Again,/questions/70976135/the-icon-and-build-section-not-selected-on-the-selected-areas-how-to-show-it-ag
0,question-summary-70972106,How to configure proxy in emulators in new versions of Android Studio?,/questions/70972106/how-to-configure-proxy-in-emulators-in-new-versions-of-android-studio
0,question-summary-70968495,Is it possible to keep the 'RUN' and 'DEBUG' section in PyCharm together but in a separated Window? [duplicate],/questions/70968495/is-it-possible-to-keep-the-run-and-debug-section-in-pycharm-together-but-in
0,question-summary-70962167,unable to parse template class error message android studio,/questions/70962167/unable-to-parse-template-class-error-message-android-studio
0,question-summary-70957209,IDE support for debugging multithreaded programs in Java,/questions/70957209/ide-support-for-debugging-multithreaded-programs-in-java
0,question-summary-70952453,Best language for Android and Raspberry Pi,/questions/70952453/best-language-for-android-and-raspberry-pi
0,question-summary-70950064,While (true) forever loop expected body function error,/questions/70950064/while-true-forever-loop-expected-body-function-error
0,question-summary-70948655,"Apps Script: why does name of properties cause ""Maximum call stack size exceeded""?",/questions/70948655/apps-script-why-does-name-of-properties-cause-maximum-call-stack-size-exceeded
0,question-summary-70933860,No class Main class found . Smoke testing,/questions/70933860/no-class-main-class-found-smoke-testing
0,question-summary-70912354,Bug on Emulator - Android Studio Chipmunk 2021.2.1 Canary 7,/questions/70912354/bug-on-emulator-android-studio-chipmunk-2021-2-1-canary-7
0,question-summary-70909255,Downloaded selenium binding with java. antivirus shows malicious file in it (heur_java.re0),/questions/70909255/downloaded-selenium-binding-with-java-antivirus-shows-malicious-file-in-it-heu
0,question-summary-70908287,PyCharm file status highlight change color blue even after git push. This is done after line separator,/questions/70908287/pycharm-file-status-highlight-change-color-blue-even-after-git-push-this-is-don
0,question-summary-70892061,Capture SIGINT when running tests in GoLand IDE,/questions/70892061/capture-sigint-when-running-tests-in-goland-ide
0,question-summary-70886244,The copy/paste/undo hot-keys don't work. Android Studio IDE,/questions/70886244/the-copy-paste-undo-hot-keys-dont-work-android-studio-ide
0,question-summary-70877091,My RStudio IDE keeps freezing and becoming unusable-how can I fix this? Already tried quite a lot,/questions/70877091/my-rstudio-ide-keeps-freezing-and-becoming-unusable-how-can-i-fix-this-already
0,question-summary-70872576,Can I rename opened source file in DrRacket from DrRacket itself?,/questions/70872576/can-i-rename-opened-source-file-in-drracket-from-drracket-itself
0,question-summary-70867871,Can I add additional Jetpack Compose New Project Templates to Android Studio?,/questions/70867871/can-i-add-additional-jetpack-compose-new-project-templates-to-android-studio
0,question-summary-70865826,"Docker is not running, but it is already running",/questions/70865826/docker-is-not-running-but-it-is-already-running
0,question-summary-70825068,I have a problem with INTELIJI IDEA. My classes are not recognized as classes by the IDE,/questions/70825068/i-have-a-problem-with-inteliji-idea-my-classes-are-not-recognized-as-classes-by
0,question-summary-70818043,TypeScript chainable class highlight issue in WebStorm,/questions/70818043/typescript-chainable-class-highlight-issue-in-webstorm
0,question-summary-70804609,Is there an easy way to watch selected local PHP files for content changes on Windows?,/questions/70804609/is-there-an-easy-way-to-watch-selected-local-php-files-for-content-changes-on-wi
0,question-summary-70785681,Simple perl script doesn't work with itorrents API (12 LINES),/questions/70785681/simple-perl-script-doesnt-work-with-itorrents-api-12-lines
0,question-summary-70777038,View text or log files using color escape sequences as colored in vscode,/questions/70777038/view-text-or-log-files-using-color-escape-sequences-as-colored-in-vscode
0,question-summary-70751745,GoLand IDE: How to remove syntax highlighting for unused variables?,/questions/70751745/goland-ide-how-to-remove-syntax-highlighting-for-unused-variables
0,question-summary-70751632,Manually tweak diffing (associate specific lines manually),/questions/70751632/manually-tweak-diffing-associate-specific-lines-manually
0,question-summary-70746392,Intellij recognizes maven dependency as SNAPSHOT,/questions/70746392/intellij-recognizes-maven-dependency-as-snapshot
0,question-summary-70745522,"Android Studio: How to remove the yellow ""some changed lines popup""? [duplicate]",/questions/70745522/android-studio-how-to-remove-the-yellow-some-changed-lines-popup
0,question-summary-70740808,syntax error: missing ) after argument list while compiling ejs,/questions/70740808/syntax-error-missing-after-argument-list-while-compiling-ejs
0,question-summary-70720076,Having trouble setting up Eclipse for android development,/questions/70720076/having-trouble-setting-up-eclipse-for-android-development
0,question-summary-70701083,Debugging Google Spreadsheet script using libraries,/questions/70701083/debugging-google-spreadsheet-script-using-libraries
0,question-summary-70686701,IntelliJ go back after Command + Click,/questions/70686701/intellij-go-back-after-command-click
0,question-summary-70675141,Prevent Visual Studio Code or IDE From Revealing Python Class Private Methods,/questions/70675141/prevent-visual-studio-code-or-ide-from-revealing-python-class-private-methods
0,question-summary-70657732,RStudio session aborts when I run gRbase::stepwise function (undirected graphs),/questions/70657732/rstudio-session-aborts-when-i-run-grbasestepwise-function-undirected-graphs
0,question-summary-70644437,omnetpp does not start on Ubuntu,/questions/70644437/omnetpp-does-not-start-on-ubuntu
0,question-summary-70643281,"VS Code - unified checking of javascript, html, and CSS code as a whole - prior to running on a browser?",/questions/70643281/vs-code-unified-checking-of-javascript-html-and-css-code-as-a-whole-prior
0,question-summary-70641064,How can I make anaconda automatically install jupyterlab extensions in every new environment I create?,/questions/70641064/how-can-i-make-anaconda-automatically-install-jupyterlab-extensions-in-every-new
0,question-summary-70637691,"How to run ""adb push"" command before launching an activity from Android Studio",/questions/70637691/how-to-run-adb-push-command-before-launching-an-activity-from-android-studio
0,question-summary-70635388,Python different errors when executing in PyCharm and in shell,/questions/70635388/python-different-errors-when-executing-in-pycharm-and-in-shell
0,question-summary-70630763,'Cannot invoke push(double) on the array type double[]'?,/questions/70630763/cannot-invoke-pushdouble-on-the-array-type-double
0,question-summary-70630744,relative paths with Dreamweaver vs Visual Code Studio,/questions/70630744/relative-paths-with-dreamweaver-vs-visual-code-studio
