answer,id,link,question
,question-summary-74231780,/questions/74231780/vs-code-each-time-when-i-select-another-file-and-start-to-type-i-will-type-in-t,"VS Code Each time when I select another file and start to type, I will type in the side bar, not on a page. How to fix it?"
,question-summary-74217615,/questions/74217615/xcode-14-does-anyone-know-how-to-remove-the-blue-tint-on-lines-where-changes-ha,Xcode 14: Does anyone know how to remove the blue tint on lines where changes have been made?
,question-summary-74213968,/questions/74213968/palette-manager-function-can%c2%b4t-be-showed-when-right-click-eclipse,"""PALETTE MANAGER"" function can´t be showed when right click ECLIPSE"
,question-summary-74210217,/questions/74210217/sourcelink-f12-doesnt-work-properly-in-visual-studio-2022,SourceLink F12 doesn't work properly in Visual Studio 2022
,question-summary-74210086,/questions/74210086/qt-creator-fails-to-start-qt-platform-plugin-problem-fresh-install-for-c-de,"Qt Creator fails to start (Qt platform plugin problem), fresh install for C++ development"
,question-summary-74194392,/questions/74194392/is-default-ide-important-for-use-git-or-it-doesnt-matter-for-usage,Is default IDE important for use git? Or it doesnt matter for usage?
,question-summary-74176175,/questions/74176175/resolve-ide-script-function,Resolve IDE script function
,question-summary-74175516,/questions/74175516/java-update-issue-do-you-trust-unassigned-content-of-unassigned-origin,Java update issue : <do you trust unassigned content of unassigned origin>
,question-summary-74171957,/questions/74171957/access-vba-control-for-editing-html-code,Access VBA: control for editing html code?
,question-summary-74157592,/questions/74157592/some-tool-like-this-in-netbeans-or-other-java-ide-this-is-from-mplab,"Some tool like this in netbeans or other java IDE, this is from MPLab [closed]"
,question-summary-74145127,/questions/74145127/why-doesnt-netbeans-let-me-assign-a-shortcut-that-involves-commandspace,Why doesn't NetBeans let me assign a shortcut that involves command+space?
,question-summary-74126175,/questions/74126175/i-need-some-help-to-automate-the-sign-up-using-the-selenium-ide-chrome-extension,I need some help to automate the sign up using the selenium IDE chrome extension
,question-summary-74113849,/questions/74113849/executin-python-script-using-cmd-dont-work,executin python script using cmd dont work [closed]
,question-summary-74108106,/questions/74108106/how-can-i-debug-google-or-tools-c-programs-in-vs-code-or-other-ides,How can I debug google OR tools c++ programs in VS Code or other IDEs?
