,question,link,answer
0,"

Problem Description
I need to configure the proxy manually in my emulator through Android Studio. From the official Android documentation, it is suggested that this change can be made in the ""settings"" tab of the emulator's extended controls. The problem is that it seems to me that this documentation is outdated, as this setting is no longer displayed in the ""settings"" tab of the Android Studio emulators' extended controls.
Documentation

My Android Studio

My version of Android Studio
Android Studio Bumblebee | 2021.1.1
Build #AI-211.7628.21.2111.8092744, built on January 19, 2022
Runtime version: 11.0.11+9-b60-7590822 amd64
VM: OpenJDK 64-Bit Server VM by Oracle Corporation
Windows 10 10.0
GC: G1 Young Generation, G1 Old Generation
Memory: 1280M
Cores: 8
Registry: external.system.auto.import.disabled=true
Non-Bundled Plugins: com.wakatime.intellij.plugin (13.1.10), wu.seal.tool.jsontokotlin (3.7.2), org.jetbrains.kotlin (211-1.6.10-release-923-AS7442.40), com.developerphil.adbidea (1.6.4), org.jetbrains.compose.desktop.ide (1.0.0), ru.adelf.idea.dotenv (2021.2), org.intellij.plugins.markdown (211.7142.37)

",https://stackoverflow.com/questions/70972106/how-to-configure-proxy-in-emulators-in-new-versions-of-android-studio,"
You can open old emulator version by unchecking setting here
If you struggle to close your old emulator, try killing qemu... process
............................................................
You can go to setup proxy in Android Studio itself.

Configure Proxy in the Preferences window


Go to Preferences window (Mac: cmd+, shortcut).
Click Appearance & Behavior on the left panel
Click System Settings on the left panel
Click HTTTP Proxy on the left panel
Setup your preferred proxy settings
Confirm by clicking OK


You need to restart emulator to apply your changes

The downside of the solution is that the proxy is also applied to Android Studio itself. So traffic from Android Studio goes through the proxy.
............................................................
After a while trying to find solutions to this problem, I saw that an emulator running outside android studio provides these options. To run a standalone Android Studio emulator see the official documentation or simply enter the command:
emulator -avd <avd_name>

In my case I'm using an avd named PIXEL 4 API 30, so the command will be emulator -avd PIXEL_4_API_30. If you are on Windows you may have problems running this command so I suggest you see this.
Edit
The solution proposed by @Inliner also solves this problem.
"
0,"

I am looking for how to deactivate the structure view of PhpStorm and remove the dropdown.
What I want to disable:

",https://stackoverflow.com/questions/70997732/disable-structure-view-of-phpstorm,"
You need to disable ""Show Members"" option.

Either right click on the ""Project"" tool window header or click on the Cog icon
Ensure that ""Tree Appearance | Show members"" is unchecked.


"
0,"

I'm looking for opinions on the best development language to use to maintain one set of high-level application code for apps that can execute on Android and Raspberry Pi.
",https://stackoverflow.com/questions/70952453/best-language-for-android-and-raspberry-pi,"
As of now Android only supports Java and Kotlin. Java is also supported on on Raspberry Pi. I have seen some people talk about using Kotlin on Rasberry but I think community support will be very limited if you go with Kotlin.
Also are you sharing code between the 2 platforms?? If you are sharing code then Java seems a safer bet as of now than Kotlin but if both code bases are not sharing anything and you you can use Kotlin for Android and any other supported language like Python Java JS or C for Rasberry Pi
............................................................
Thank you for taking the time to offer your thoughts.
I've decided to use Dart, along with the Webstorm IDE.Dart is an OOP language, multiplatform (potentially platform independent), and can compile to bytecode, Javascript or host object code.It sounds pretty exciting... we'll see after I have completed a couple of projects ;-)
https://dart.dev/overview
............................................................
As of now Android just sustains Java as well as Kotlin. Java is likewise sustained on Raspberry Pi I have seen some individuals speak about using Kotlin on Rasberry yet I assume area support will be extremely minimal if you choose Kotlin.
Likewise are you sharing code in between the 2 systems?? If you are sharing code after that Java seems a safer wager already than Kotlin however if both code bases are not sharing anything as well as you can utilize Kotlin for Android and any other supported language like Python Java JS or C for Rasberry Pi.
"
0,"

Virtual emulator by default is now dock with the IDE itself instead of floating window, thus I changed its View Mode to Float and later Window. Now it seems scrolling no longer works properly on both setup and I believe there is a bug going on here based on the experience I am getting. Whenever I scroll up or down using a mouse, the virtual device disappear and running it again will prompt the user that the device is already running. The question is where did the emulator go? I cannot see it on any tab either.



",https://stackoverflow.com/questions/70912354/bug-on-emulator-android-studio-chipmunk-2021-2-1-canary-7,"
The emulator tool is located on the right side of the IDE. When the emulator tool is closed, the emulator is still running so you need to just click on ""Emulator"" on the right side of the IDE. However, as you mentioned, it is buggy and sometimes you have to stop the emulator and rerun to get it to display again.
However, to make things easier, you can launch the emulators in their own separate windows. It seems to be more user friendly.
To get the emulator to launch in their own windows, you have to disable the the ""Launch in a tool window"" setting. Here are the instructions to disable it.
Android Studio on Mac:
Go to Android Studio->Preferences->Tools->Emulator and then uncheck ""Launch in a tool window""
Android Studio on Windows:
Go to File->Settings->Tools->Emulator and then uncheck ""Launch in a tool window""
Now your emulators will open in their own windows and you can even open multiple emulators and view them side-by-side if you wish. With the Emulator tool, it was impossible to view multiple emulators side-by-side. Instead, you had to switch emulator tabs.
............................................................
Please press long click on power button of the emulator and then press power off.enter image description here
............................................................
make sure your source code app there is no error compiling, then just click button Run your code (not button run / play emulator), when your app delivered to emulator, your emulator appear back again
button run app on the right
"
0,"

For some reason I cannot use the following:

Ctrl + c (copy)
Ctrl + v (paste)
Ctrl + z (undo)

In the settings I did the following:
( File > Settings > Keymap )

Reset Keymap.
I chose a different type of keymaps (Windows, Gnome, NetBeans, and more).
I searched for the hot-keys to check that they are correct. Everything was registered correctly.

I always restarted the IDE
OS: Zorin OS

Android Studio Version: Arctic Fox 2020.3.1 Patch 4
Update now: Bumbiebee 2021.1.1

What must have gone wrong ?
Kind regards.
",https://stackoverflow.com/questions/70886244/the-copy-paste-undo-hot-keys-dont-work-android-studio-ide,"
This worked for me. Everything works fine.
At the terminal:
sudo add-apt-repository ppa:attente/java-non-latin-shortcuts
sudo apt-get update
sudo apt-get upgrade

After Invalidate cashes, the problem returns.
"
0,"


I have my Docker Desktop Running and I have run ""C:\Program Files\Docker\Docker\DockerCli.exe"" -SwitchDaemon command on my cmd. But when I add Remote-Containers: Reopen in Container on my VS Code Command Palette, I got error like the picture above, and I'm using Windows. I don't know what should I do. Any helps would be appreciated.
",https://stackoverflow.com/questions/70865826/docker-is-not-running-but-it-is-already-running,"
Try to restart service docker manually.
Sometimes daemon docker on windows doesn't work and you have to restart service docker
"
0,"

yesterday i tried to code an example script with perl and itorrents api, i'm using the perl IDE Padre. Basically, this script sends data to a server (itorrents) here's the link of the api: itorrents.org/automation i copied and pasted the code that the website gived to me, and it's not working!
I installed this perl modules with windows cmd:
cpan App:cpanminus
cpanm MIME::Base64
cpanm MIME::Parser
cpanm MIME::Tools
cpanm Test::XML
cpanm SOAP::Lite
cpanm SOAP::WSDL

This is my script (caching.pl):
#!/usr/bin/perl

use MIME::Base64 ();
use SOAP::Lite ();

open( FILE, 'my.torrent' ) or die ""$!"";
while( read( FILE, $buf, 60*57 ) ) { $tor .= MIME::Base64::encode( $buf ); }
close( FILE );

$infoHash = SOAP::Lite->service( 'http://itorrents.org/api/torrage.wsdl' )->cacheTorrent( $tor );

print $infoHash;

Thanks in advance, im not fluent in this language, sorry.
Edit: sorry i forget to post the error line:
Service description 'http://itorrents.org/api/torrage.wsdl' can't be loaded: 500 Can't connect to itorrents.org:443

",https://stackoverflow.com/questions/70785681/simple-perl-script-doesnt-work-with-itorrents-api-12-lines,"
Solved ! I solved it downloading the torrage.wsdl file from http://itorrents.org/api/torrage.wsdl and replaced this line:
$infoHash = SOAP::Lite->service( 'http://itorrents.org/api/torrage.wsdl' )->cacheTorrent( $tor );

With this line(replacing the website URL with the downloaded file torrage.wsdl path):
$infoHash = SOAP::Lite->service( 'file:///C:/Users/sussq/Desktop/perl2exe/torrage.wsdl' )->cacheTorrent( $tor );

For more information and explanation see this post: SOAP::Lite can't connect to host
"
0,"

I am applying scripts in Google spreadsheets.
Using the debugger it is easy to to find errors in the script that is local to the spreadsheet (container). In the script I use functions of external libraries, which is running fine.
However, when using the debugger I am not able anymore to enter the library script. The debugger works fine as long as the script is local. But as soon as an external function is called I get an error

Cannot connect to server

when entering the code.
Using the execute command from within the debugger works fine.
Question
In the past I was able to use the debugging function also to debug library functions. Somehow this has changed.
Does anyone know what the reason is?
",https://stackoverflow.com/questions/70701083/debugging-google-spreadsheet-script-using-libraries,"
As per checking, it seems this is a well-known bug. Check Cannot debug library, debugger does not step in for details and bump the issue if you can.
You might also want to try and check if you can do it via the old IDE.
EDIT:
As per Rubén, seems like it also doesn't work on the old IDE too.
References:

Debugging Library Code (New IDE)


"
0,"

I use Ubuntu-20.04 via wsl. There, I have installed ometpp-5.6. Also, on Windows, I have installed VcXserver to run onmetpp IDE. 
But when I run in the command prompt on Ubuntu omnetpp I get Starting the OMNeT++ IDE..., but no IDE window is being open, even though I have configured my environment as described here.
How could I solve my problem?
",https://stackoverflow.com/questions/70644437/omnetpp-does-not-start-on-ubuntu,"
Adding separate inbound rule for TCP port 6000 as described here solved the issue.
"
0,"

I've worked on my python project in PyCharm. When I'm executing its different files everything goes smoothly. However, when I'm executing the files in shell, it seems like I get errors that I don't get in the IDE.
For example, being a simplified structure of my project:
+--PROJECT
 +--data
+--myfile.csv
 +--__init__.py
 +--main.py

And being a simplified main.py:
import pandas as pd

if __name__ == ""__main__"":
 dataframe = pd.read_csv(""data/myfile.csv"", on_bad_lines='skip', sep=sep)

The execution in PyCharm is clean, while when I run it in Shell it yields:
TypeError: parser_f() got an unexpected keyword argument 'on_bad_lines'

I guess this could be a matter ofPython versions, but I don't quite see where the problem is. I have a 3.8 version inPyCharm and a 3.8.10 inLinux.
EDITED: Included the source file and its path
",https://stackoverflow.com/questions/70635388/python-different-errors-when-executing-in-pycharm-and-in-shell,"
What version of pandas do you use? According to this documentation the on_bad_lines is only added in 1.3.0. You can check that by using
$ python# start an interpreter
>>> import pandas
>>> print(pandas.__version__)

"
